ID	CorrectedPvalue	Name	GeneMembers	NumGenes
GO:1901991	4.94e-10	negative regulation of mitotic cell cycle phase transition	CARM1|PRMT1|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMC2|PSMC3|PSMD1|PSMD13|PSMD14|PSMD5|PSMD7|PSMD8|PSME1|RPA2|SKP1|	25
GO:1901988	5.763e-10	negative regulation of cell cycle phase transition	CARM1|PRMT1|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMC2|PSMC3|PSMD1|PSMD13|PSMD14|PSMD5|PSMD7|PSMD8|PSME1|RPA2|SKP1|	25
GO:1901532	6.916e-10	regulation of hematopoietic progenitor cell differentiation	HSPA9|NUDT21|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMC2|PSMC3|PSMD1|PSMD13|PSMD14|PSMD5|PSMD7|PSMD8|PSME1|	23
GO:0042590	8.645e-10	antigen processing and presentation of exogenous peptide antigen via MHC class I	CALR|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMC2|PSMC3|PSMD1|PSMD13|PSMD14|PSMD5|PSMD7|PSMD8|PSME1|	22
GO:0031145	1.153e-09	anaphase-promoting complex-dependent catabolic process	PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMC2|PSMC3|PSMD1|PSMD13|PSMD14|PSMD5|PSMD7|PSMD8|PSME1|	21
GO:0002479	1.729e-09	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent	CALR|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMC2|PSMC3|PSMD1|PSMD13|PSMD14|PSMD5|PSMD7|PSMD8|PSME1|	22
GO:0002474	3.458e-09	antigen processing and presentation of peptide antigen via MHC class I	BCAP31|CALR|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMC2|PSMC3|PSMD1|PSMD13|PSMD14|PSMD5|PSMD7|PSMD8|PSME1|SEC23A|	24
GO:0010948	9.168e-05	negative regulation of cell cycle process	CALR|CARM1|CBX3|HSP90AB1|NPM1|PRKAR1A|PRMT1|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMC2|PSMC3|PSMD1|PSMD13|PSMD14|PSMD5|PSMD7|PSMD8|PSME1|RPA2|RPL23|SKP1|TOM1L2|	32
GO:0002218	0.0002191	activation of innate immune response	CNPY3|CTSB|FYN|HRAS|MAP2K6|MATR3|PAK2|PRKACB|PRKCE|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMC2|PSMC3|PSMD1|PSMD13|PSMD14|PSMD5|PSMD7|PSMD8|PSME1|PSPC1|RFTN1|SFPQ|SKP1|XRCC5|XRCC6|	36
GO:0045786	0.0004785	negative regulation of cell cycle	CAB39|CALR|CARM1|CBX3|GAS7|HRAS|HSP90AB1|IPO7|MAGI2|MAP2K1|MAP2K6|MFN2|NPM1|PEA15|PPP1R9B|PRKACB|PRKAR1A|PRMT1|PRNP|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMC2|PSMC3|PSMD1|PSMD13|PSMD14|PSMD5|PSMD7|PSMD8|PSME1|RHOB|RPA2|RPL23|RRAGA|SKP1|SLC9A3R1|TIPRL|TOM1L2|	48
GO:0009889	0.0006591	regulation of biosynthetic process	ABCA2|ACADVL|ACO1|ACSL3|ACTL6B|ACTN1|ACTN4|ACTR3|ADCY1|AGAP2|AGT|AKAP12|AP2A1|APEX1|APOE|ARF4|ARHGEF11|ARHGEF2|ATP1A1|ATP2B4|BAG3|BASP1|BMPR2|C1QBP|CALCOCO1|CALR|CAMK1D|CAMK2A|CAMK2D|CAMKK2|CAND1|CAPN2|CARM1|CBX3|CCDC88A|CCT2|CCT3|CCT4|CCT5|CCT6A|CCT7|CCT8|CD200|CD47|CD81|CDC42|CIRBP|CLU|COPS2|CRTC1|CRYAB|CRYM|CUL2|CYFIP1|DDAH1|DDX1|DHCR7|DNAJB1|DNAJB6|DNM2|EIF2S1|EIF3E|EIF3H|EIF4A2|EIF4A3|EIF4B|EIF4E|ENO1|ERBB4|ERC1|EZR|FAM3C|FDPS|FUBP1|FYN|G3BP2|GAS7|GLO1|GOT1|GRIN1|GRM5|H1F0|H1FX|H3F3A|HABP4|HIF1AN|HIGD1A|HIST1H1E|HMGCS1|HNRNPAB|HNRNPK|HOPX|HPCA|HRAS|HSP90AB1|HSPA8|HSPH1|IDH1|ILF2|ITGA6|KHDRBS1|LANCL2|LPCAT1|LRPPRC|LRRFIP1|MAP2K1|MAP2K4|MAP2K6|MAPK1|MAPK10|MAPK3|MAPK9|MAPRE3|MT3|MTIF2|MTPN|MVD|MYEF2|MYO6|NECAB1|NECAB2|NFIA|NLN|NME2|NPM1|PA2G4|PAIP1|PARK7|PDE2A|PDK3|PEX14|PFKFB2|PFN1|PIK3R1|PIN1|PLCB1|PLXND1|PPID|PPP1R12A|PPP2CA|PPP2R1A|PPP3CA|PPP3R1|PRDX2|PRKAR1A|PRKCB|PRMT1|PRNP|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMC2|PSMC3|PSMD1|PSMD13|PSMD14|PSMD5|PSMD7|PSMD8|PSME1|PSPC1|PTGES3|PTK2B|PTPRN|PURA|QKI|RAB3GAP1|RAB3GAP2|RAE1|RALY|RAN|ROCK2|RPL10|RPL13A|RPL23|RPL5|RPS3|RPS4X|RPS9|RUVBL2|SARS|SCAI|SEC14L2|SEMA4D|SFPQ|SIRPA|SIRT2|SLC25A12|SLC30A9|SMC3|SMPD3|SNX6|SOD2|SORBS1|SORL1|SRI|SRP9|SRRT|STAT1|STRAP|SUB1|SUMO2|SVIP|TCP1|TMPO|TSC22D2|TSFM|UBA3|UBE2O|USP7|VCP|VPS35|WASL|WBP2|WDR61|WFS1|XRCC5|XRCC6|YBX1|YWHAB|YWHAH|YWHAQ|	231
GO:0010556	0.0008334	regulation of macromolecule biosynthetic process	ABCA2|ACO1|ACTL6B|ACTN1|ACTN4|ACTR3|ADCY1|AGT|AKAP12|AP2A1|APEX1|APOE|ARF4|ARHGEF11|ARHGEF2|ATP2B4|BAG3|BASP1|BMPR2|C1QBP|CALCOCO1|CALR|CAMK1D|CAMK2A|CAMK2D|CAMKK2|CAND1|CARM1|CBX3|CCDC88A|CCT2|CCT3|CCT4|CCT5|CCT6A|CCT7|CCT8|CD200|CD81|CDC42|CIRBP|CLU|COPS2|CRTC1|CRYAB|CRYM|CUL2|CYFIP1|DDX1|DNAJB1|DNAJB6|DNM2|EIF2S1|EIF3E|EIF3H|EIF4A2|EIF4A3|EIF4B|EIF4E|ENO1|ERBB4|ERC1|EZR|FUBP1|G3BP2|GAS7|GLO1|GRIN1|GRM5|H1F0|H1FX|H3F3A|HABP4|HIF1AN|HIGD1A|HIST1H1E|HNRNPAB|HNRNPK|HOPX|HRAS|HSP90AB1|HSPA8|HSPH1|ILF2|ITGA6|KHDRBS1|LANCL2|LRPPRC|LRRFIP1|MAP2K1|MAP2K4|MAP2K6|MAPK1|MAPK10|MAPK3|MAPK9|MAPRE3|MT3|MTIF2|MTPN|MYEF2|MYO6|NECAB1|NECAB2|NFIA|NME2|NPM1|PA2G4|PAIP1|PARK7|PDE2A|PEX14|PFN1|PIK3R1|PIN1|PLCB1|PLXND1|PPID|PPP1R12A|PPP2CA|PPP2R1A|PPP3CA|PPP3R1|PRDX2|PRKAR1A|PRKCB|PRMT1|PRNP|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMC2|PSMC3|PSMD1|PSMD13|PSMD14|PSMD5|PSMD7|PSMD8|PSME1|PSPC1|PTGES3|PTK2B|PTPRN|PURA|QKI|RAB3GAP1|RAB3GAP2|RALY|RAN|ROCK2|RPL10|RPL13A|RPL23|RPL5|RPS3|RPS4X|RPS9|RUVBL2|SARS|SCAI|SEC14L2|SEMA4D|SFPQ|SIRT2|SLC30A9|SMC3|SMPD3|SNX6|SOD2|SORBS1|SORL1|SRI|SRP9|SRRT|STAT1|STRAP|SUB1|SUMO2|SVIP|TCP1|TMPO|TSC22D2|TSFM|UBA3|UBE2O|USP7|WASL|WBP2|WDR61|WFS1|XRCC5|XRCC6|YBX1|YWHAB|YWHAH|YWHAQ|	206
